,TF,Target
0,361,424
1,297,424
2,297,138
3,355,424
4,355,433
5,355,105
6,355,481
7,355,322
8,355,680
9,355,73
10,355,168
11,355,76
12,355,388
13,355,576
14,355,110
15,355,158
16,355,597
17,355,578
18,355,797
19,355,755
20,355,16
21,355,138
22,355,465
23,355,312
24,355,744
25,355,184
26,355,151
27,355,410
28,355,812
29,355,237
30,355,7
31,355,385
32,355,155
33,355,454
34,355,33
35,355,316
36,355,221
37,355,583
38,355,20
39,355,97
40,355,135
41,355,231
42,355,804
43,355,707
44,355,561
45,355,735
46,355,765
47,355,821
48,355,238
49,355,356
50,355,450
51,355,159
52,355,306
53,355,852
54,355,644
55,355,805
56,355,467
57,355,272
58,355,748
59,355,842
60,355,165
61,355,827
62,355,335
63,355,130
64,355,190
65,355,622
66,355,558
67,355,586
68,355,58
69,355,344
70,355,770
71,355,629
72,355,608
73,355,61
74,355,131
75,355,626
76,355,346
77,355,219
78,355,86
79,355,860
80,355,389
81,355,900
82,355,259
83,355,248
84,355,358
85,355,468
86,374,694
87,374,684
88,374,909
89,740,235
90,740,376
91,740,906
92,740,163
93,740,327
94,740,856
95,740,90
96,740,92
97,740,595
98,740,839
99,740,115
100,740,462
101,740,320
102,740,897
103,740,586
104,740,204
105,740,345
106,740,791
107,740,68
108,740,221
109,740,154
110,740,548
111,740,355
112,740,244
113,740,500
114,740,494
115,740,162
116,740,869
117,740,417
118,740,312
119,740,208
120,740,151
121,740,180
122,740,706
123,740,574
124,740,497
125,740,444
126,740,288
127,740,452
128,740,214
129,740,4
130,740,670
131,740,495
132,740,442
133,740,114
134,740,634
135,740,752
136,740,467
137,740,73
138,740,41
139,740,730
140,740,888
141,740,486
142,740,234
143,740,217
144,740,609
145,740,576
146,740,583
147,740,694
148,740,375
149,740,673
150,740,413
151,740,718
152,740,167
153,740,857
154,740,527
155,740,240
156,740,485
157,740,474
158,740,300
159,740,806
160,740,800
161,740,210
162,740,159
163,740,229
164,740,335
165,740,468
166,740,24
167,740,424
168,740,707
169,740,96
170,740,6
171,740,128
172,740,640
173,740,44
174,740,279
175,740,190
176,740,519
177,740,333
178,740,696
179,740,368
180,740,206
181,740,155
182,740,723
183,740,892
184,740,285
185,740,817
186,740,76
187,740,770
188,740,651
189,740,724
190,740,108
191,740,568
192,740,891
193,740,434
194,740,511
195,740,109
196,740,411
197,740,608
198,740,124
199,740,498
200,740,664
201,740,587
202,740,125
203,740,344
204,740,330
205,740,698
206,740,366
207,740,556
208,740,456
209,740,86
210,740,516
211,740,619
212,740,401
213,740,753
214,740,864
215,740,559
216,740,708
217,740,398
218,740,46
219,740,463
220,740,275
221,740,841
222,740,518
223,740,49
224,740,446
225,740,101
226,740,20
227,740,717
228,740,290
229,740,184
230,740,53
231,740,865
232,740,732
233,740,223
234,740,99
235,740,631
236,740,641
237,740,721
238,740,624
239,740,842
240,740,512
241,740,648
242,740,580
243,740,772
244,740,175
245,740,188
246,740,661
247,740,291
248,740,258
249,740,334
250,740,22
251,740,340
252,740,784
253,740,237
254,740,256
255,740,443
256,740,873
257,740,868
258,740,395
259,740,143
260,740,659
261,740,748
262,740,514
263,740,453
264,740,493
265,740,431
266,740,141
267,740,211
268,740,889
269,740,67
270,740,122
271,740,358
272,740,127
273,740,157
274,740,613
275,740,153
276,740,11
277,740,408
278,740,822
279,740,537
280,740,205
281,740,801
282,740,665
283,740,89
284,740,823
285,740,292
286,740,840
287,740,722
288,740,447
289,740,224
290,740,534
291,740,183
292,740,371
293,740,227
294,740,8
295,740,831
296,740,626
297,740,43
298,740,470
299,740,56
300,740,546
301,740,515
302,740,567
303,740,581
304,740,450
305,740,644
306,740,549
307,740,667
308,740,255
309,740,165
310,740,236
311,740,820
312,740,472
313,740,7
314,740,132
315,740,85
316,740,399
317,740,804
318,740,760
319,740,849
320,740,50
321,740,440
322,740,678
323,740,797
324,740,361
325,740,880
326,740,591
327,740,45
328,740,503
329,740,712
330,740,231
331,740,669
332,740,908
333,740,755
334,740,565
335,740,871
336,740,280
337,740,102
338,740,557
339,740,432
340,740,733
341,740,388
342,740,709
343,740,828
344,740,267
345,740,136
346,740,523
347,740,654
348,740,233
349,740,794
350,740,207
351,399,433
352,399,138
353,399,388
354,399,827
355,399,33
356,399,68
357,399,891
358,399,441
359,399,110
360,399,804
361,399,452
362,399,622
363,399,578
364,399,601
365,399,241
366,399,735
367,399,694
368,399,320
369,399,715
370,399,184
371,399,604
372,399,98
373,399,390
374,399,792
375,399,816
376,399,874
377,399,140
378,399,259
379,399,813
380,399,629
381,399,645
382,399,211
383,399,301
384,399,608
385,399,467
386,399,465
387,399,741
388,399,65
389,399,151
390,399,62
391,399,576
392,399,418
393,399,126
394,399,103
395,399,334
396,399,589
397,399,230
398,399,24
399,399,407
400,399,311
401,399,585
402,399,76
403,399,536
404,399,765
405,399,487
406,399,80
407,399,158
408,399,387
409,399,880
410,399,800
411,399,132
412,399,243
413,399,267
414,399,500
415,399,155
416,399,655
417,399,503
418,399,744
419,399,641
420,399,349
421,399,513
422,399,726
423,399,687
424,399,180
425,399,231
426,399,671
427,399,540
428,399,411
429,399,35
430,399,385
431,399,237
432,399,883
433,399,579
434,399,45
435,399,177
436,399,697
437,399,391
438,399,345
439,399,777
440,399,908
441,399,371
442,399,49
443,399,376
444,399,680
445,399,498
446,399,446
447,399,450
448,399,547
449,399,30
450,399,363
451,399,79
452,399,271
453,399,859
454,399,288
455,399,440
456,399,595
457,399,515
458,399,743
459,399,656
460,399,128
461,399,563
462,399,156
463,399,221
464,399,496
465,399,443
466,399,679
467,399,718
468,399,701
469,399,481
470,399,812
471,399,672
472,399,906
473,399,468
474,399,848
475,399,834
476,399,192
477,399,225
478,399,282
479,399,480
480,399,208
481,399,753
482,399,710
483,399,707
484,399,605
485,399,91
486,399,892
487,399,378
488,399,721
489,399,675
490,399,461
491,399,860
492,399,137
493,399,163
494,399,322
495,399,488
496,399,799
497,399,373
498,399,841
499,399,548
500,399,831
501,399,119
502,399,577
503,399,665
504,399,755
505,399,519
506,399,333
507,399,424
508,399,214
509,399,856
510,399,48
511,399,644
512,399,797
513,399,124
514,399,234
515,399,19
516,399,61
517,399,152
518,399,763
519,399,448
520,399,736
521,399,11
522,399,767
523,399,731
524,399,529
525,399,514
526,399,355
527,399,309
528,399,146
529,399,661
530,399,97
531,399,798
532,399,222
533,399,90
534,399,811
535,399,737
536,399,469
537,399,558
538,399,566
539,399,46
540,399,7
541,399,820
542,399,761
543,399,143
544,399,509
545,399,780
546,399,586
547,399,754
548,399,603
549,399,13
550,399,379
551,399,648
552,399,18
553,399,766
554,399,44
555,399,738
556,399,318
557,399,901
558,399,217
559,399,216
560,399,398
561,399,505
562,399,366
563,399,666
564,399,202
565,399,22
566,399,624
567,399,772
568,399,310
569,399,0
570,399,312
571,399,276
572,399,525
573,399,903
574,399,458
575,399,83
576,399,377
577,399,431
578,399,866
579,399,358
580,399,785
581,399,340
582,399,511
583,399,386
584,399,462
585,399,233
586,399,647
587,399,182
588,399,229
589,399,165
590,399,774
591,399,59
592,399,879
593,399,445
594,399,757
595,399,381
596,399,52
597,399,575
598,399,889
599,399,556
600,399,104
601,399,664
602,399,801
603,399,602
604,399,210
605,399,900
606,399,555
607,399,270
608,399,300
609,399,669
610,399,204
611,399,693
612,399,329
613,399,325
614,399,84
615,399,335
616,399,95
617,399,485
618,399,302
619,399,380
620,399,368
621,399,186
622,399,55
623,399,791
624,399,395
625,399,175
626,399,307
627,399,609
628,399,219
629,399,871
630,399,297
631,399,413
632,399,206
633,399,290
634,399,73
635,399,836
636,399,483
637,399,596
638,399,516
639,399,130
640,399,852
641,399,88
642,399,323
643,399,573
644,399,117
645,399,453
646,399,869
647,399,684
648,399,28
649,399,313
650,399,619
651,793,424
652,793,475
653,793,338
654,793,463
655,793,467
656,793,201
657,793,614
658,793,249
659,793,726
660,793,525
661,793,39
662,793,902
663,793,461
664,793,543
665,793,550
666,793,867
667,793,305
668,793,133
669,793,153
670,793,821
671,793,356
672,793,439
673,793,708
674,793,247
675,793,309
676,793,311
677,793,797
678,793,638
679,793,542
680,793,171
681,793,833
682,793,16
683,793,259
684,793,383
685,793,284
686,793,510
687,793,678
688,793,649
689,793,816
690,793,429
691,793,21
692,793,270
693,793,648
694,793,119
695,793,873
696,793,183
697,793,616
698,793,3
699,793,507
700,793,211
701,793,292
702,793,313
703,793,48
704,793,687
705,793,298
706,793,794
707,793,633
708,793,909
709,793,487
710,793,125
711,793,23
712,793,200
713,793,382
714,793,15
715,793,850
716,793,386
717,793,533
718,793,780
719,793,778
720,793,738
721,793,523
722,793,420
723,793,584
724,793,187
725,793,639
726,793,359
727,793,500
728,793,882
729,793,50
730,793,540
731,793,493
732,793,209
733,793,105
734,793,470
735,793,751
736,793,572
737,793,174
738,793,32
739,793,486
740,793,826
741,793,388
742,793,443
743,793,321
744,793,17
745,793,370
746,793,669
747,793,492
748,793,107
749,793,80
750,793,349
751,793,588
752,793,670
753,793,378
754,793,473
755,793,166
756,793,213
757,793,566
758,793,295
759,793,27
760,793,399
761,793,110
762,793,430
763,793,45
764,793,208
765,793,260
766,793,220
767,407,417
768,407,433
769,407,211
770,407,72
771,407,585
772,407,874
773,407,671
774,407,443
775,407,474
776,407,629
777,407,694
778,407,60
779,407,601
780,407,476
781,407,290
782,407,891
783,407,805
784,407,301
785,407,184
786,407,790
787,407,909
788,407,662
789,407,62
790,407,33
791,407,174
792,407,803
793,407,481
794,407,566
795,407,217
796,407,604
797,407,622
798,407,899
799,407,231
800,407,349
801,407,373
802,407,715
803,407,356
804,407,439
805,407,687
806,407,666
807,407,334
808,407,395
809,407,188
810,407,881
811,407,743
812,407,450
813,407,240
814,407,441
