,TF,index
0,FUS,2
1,NKX3-1,3
2,TRIM33,4
3,HOXB4,5
4,NONO,6
5,SMARCD1,8
6,POU2AF1,10
7,DNMT3A,11
8,SSB,12
9,WWTR1,20
10,LZTS1,21
11,ZNF219,22
12,JMJD1C,24
13,RBBP4,25
14,BHLHE40,27
15,PARN,29
16,BTG2,32
17,RAD51,35
18,CNBP,41
19,TFAP2A,43
20,CUX1,44
21,MITF,45
22,DAXX,47
23,TP53,49
24,BMP4,50
25,PA2G4,52
26,PPARGC1B,53
27,SOX2,56
28,SOX3,57
29,HELZ,59
30,NANOG,62
31,SOX4,64
32,ASB4,66
33,HNRNPD,68
34,CXXC1,73
35,SRSF6,75
36,RARG,81
37,MCM6,82
38,KAT6A,83
39,MSX1,85
40,PHB2,86
41,CHAF1A,87
42,POLR2A,91
43,ARID4B,92
44,TFDP1,94
45,XRCC6,96
46,BTF3,98
47,PDGFA,99
48,ZNF398,101
49,APBB2,102
50,MED16,104
51,BMP2,107
52,MIF,109
53,OTX2,110
54,ZNF764,115
55,PBXIP1,116
56,BCLAF1,117
57,HDAC9,119
58,RUNX1,123
59,RAI14,124
60,YAF2,125
61,SATB2,133
62,LDB2,136
63,HESX1,138
64,SMAD5,143
65,SP110,147
66,ILF3,152
67,ESPL1,154
68,ETV3,155
69,CALCOCO1,156
70,SNAI1,162
71,SIRT1,163
72,FOXN3,165
73,PLAGL2,167
74,JUND,175
75,TFAP4,177
76,ANKRD6,178
77,NFIC,183
78,ZNF202,184
79,ENO1,185
80,HAND2,187
81,ZEB2,189
82,TCF4,190
83,SOX13,191
84,MXD4,193
85,TRIP13,194
86,NFATC1,200
87,PGR,201
88,CREB3L2,204
89,MCM7,206
90,TRERF1,207
91,LMX1B,209
92,MECOM,211
93,TEAD1,212
94,TMF1,215
95,UBTF,216
96,HMGA1,219
97,ELK3,220
98,CRABP2,221
99,HDGF,223
100,SNRPD1,224
101,POU2F2,232
102,SPIB,233
103,KLF8,234
104,U2AF1,235
105,SATB1,236
106,FOXJ1,240
107,UPF2,243
108,FOXJ2,246
109,ZFPM2,249
110,ILF2,251
111,APC,252
112,PURA,253
113,PER3,256
114,ELL2,258
115,GATA4,259
116,LMO3,260
117,SHOX,262
118,SCD5,270
119,CENPK,272
120,NR3C1,273
121,ZBTB2,274
122,GATAD2A,275
123,FOXK1,280
124,ATRX,283
125,LMO2,284
126,KHSRP,285
127,DAB2,287
128,SALL2,288
129,MCM4,290
130,ARNT2,291
131,SAP18,294
132,BCL11A,297
133,ESRRG,298
134,KLF6,299
135,TCF19,300
136,UHRF1,303
137,SLA2,304
138,SOX17,305
139,TRIM25,308
140,ETV7,311
141,ASXL1,312
142,AIRE,314
143,PRDM14,316
144,CRX,318
145,SRSF3,319
146,DNAJC2,320
147,TLE3,322
148,MKI67IP,324
149,PDCD11,327
150,RBMX,328
151,NFKBIB,329
152,RUVBL1,330
153,DEDD2,331
154,SP100,332
155,HNRNPK,333
156,DDX54,334
157,PAWR,336
158,TRIP11,340
159,ZIC3,342
160,ZNF142,344
161,EEF1A1,345
162,TCEA1,347
163,CTNNB1,355
164,SNRPB,358
165,MEIS1,359
166,AR,361
167,TLE1,363
168,NFATC3,365
169,H1F0,369
170,NCOA6,371
171,DNMT3B,374
172,VHL,380
173,FUBP1,381
174,SOX7,382
175,MLLT6,392
176,TLR4,393
177,ARID3B,395
178,POLR1A,396
179,RBFOX2,398
180,EOMES,399
181,SRSF10,406
182,FOXH1,407
183,RFXANK,408
184,HLX,409
