,TF,index
0,SOX2,4
1,SSBP4,7
2,APBB1,8
3,CITED1,11
4,SMAD4,12
5,ELL2,14
6,ELP2,16
7,MAPK3,17
8,CCND1,19
9,ANKRD6,20
10,SIRT1,21
11,SP8,27
12,KLF10,30
13,FOXP1,37
14,MATR3,38
15,FOXD3,40
16,GATA6,41
17,NR1D2,44
18,RAD51,45
19,ECD,49
20,CRAMP1L,50
21,TCEA1,51
22,RIF1,54
23,ZFP296,56
24,EZH1,59
25,TRIM28,64
26,HIST1H1B,66
27,ZFP275,67
28,TAF1,68
29,SKIL,72
30,PHB2,74
31,ZFP148,80
32,PHF12,82
33,TAF5,87
34,MXD4,90
35,DDIT3,93
36,PRRX2,94
37,MSC,96
38,APEX1,97
39,FOXJ3,98
40,NUPR1,99
41,PIAS2,100
42,HMGA2,103
43,ANKS1,105
44,ELF2,107
45,PAX8,110
46,RBMXL2,112
47,NFIB,116
48,SNAI1,117
49,HNRNPD,118
50,ORC2,121
51,DDX58,123
52,AGAP3,126
53,SMARCB1,131
54,FOXO3,133
55,ERCC8,134
56,ZFP42,139
57,CBX7,141
58,HSF2BP,142
59,ZDHHC16,145
60,CDC5L,146
61,FHL2,150
62,FOXA2,154
63,POLR2K,155
64,SUB1,156
65,TWIST1,157
66,MCM2,162
67,MBD2,165
68,CTBP1,167
69,HNF4A,170
70,PATZ1,171
71,NONO,174
72,GATA4,176
73,LHX2,177
74,DCP1A,180
75,EBF1,181
76,MED31,183
77,NFATC3,185
78,MCM4,186
79,CSF1,188
80,MYCN,189
81,MAML3,194
82,YEATS4,195
83,MTF2,200
84,ZMYM2,201
85,DPPA4,202
86,TSG101,203
87,SMARCA4,204
88,UBP1,206
89,DR1,208
90,MED21,209
91,NR3C1,210
92,SIRT2,211
93,GTF2H4,215
94,PRDM1,217
95,SATB2,218
96,SMAD3,219
97,RFX5,220
98,TCERG1,224
99,DDB1,226
100,FXR2,227
101,NAA15,230
102,BTG2,238
103,EMX2,239
104,IRF6,240
105,CHD4,242
106,GTF3C5,244
107,SMURF2,245
108,GATA3,246
109,RB1,247
110,IRF2,251
111,NME2,257
112,ATF6,258
113,RNF2,260
114,ILF3,262
115,POLR2B,269
116,POU4F2,271
117,MAPK8,276
118,ZDHHC15,280
119,TAF10,281
120,TAX1BP3,282
121,CTNNBIP1,285
122,MED12,287
123,ELAVL2,290
124,CBX4,293
125,GLI1,302
126,ATF7,303
127,POLR2I,306
128,RYBP,307
129,PAPOLA,310
130,POLR1C,311
131,GRIN1,315
132,USF1,316
133,SALL4,320
134,SMARCD1,325
135,XRCC5,328
136,KPNA2,332
137,MIS18BP1,335
138,RFXAP,337
139,ELF1,339
140,TBX18,340
141,CNOT2,342
142,BMI1,345
143,ZFPM1,346
144,HDAC11,348
145,DMRT1,351
146,CTCF,355
147,TET2,356
148,TIMELESS,357
149,ZFHX3,358
150,SRRT,361
151,POLR1A,362
152,ESPL1,373
153,SMARCC2,374
154,KDM5B,380
155,PER1,381
156,MAPK13,383
157,SMARCA2,384
158,GTF2H3,389
159,HTT,390
160,ZBTB7A,392
161,BARD1,399
162,NDN,401
163,JDP2,402
164,DAZAP2,403
165,TULP3,412
166,MCM7,416
167,CREB3,418
168,NFE2L2,422
169,POLR2E,423
170,GATAD2B,430
171,PLAG1,438
172,ATM,439
173,ARID3B,443
174,RBPJ,445
175,ZFP219,446
176,PITX1,451
177,TCF20,454
178,TAF9,455
179,HDAC2,460
180,BTF3,463
181,ASH2L,465
182,HDAC7,470
183,ZFP462,473
184,PREB,474
185,ATF3,475
186,PHF20,477
187,TCF4,485
188,HDAC4,488
189,KLF2,489
190,RARG,490
191,ARL6IP5,494
192,XRCC6,499
193,CTNNB1,500
194,ZFP446,506
195,ELL3,507
196,NFATC4,508
197,NR1H2,509
198,ZFP36L1,511
199,EOMES,514
200,HDAC10,516
201,NR2C1,517
202,NR4A1,522
203,EP400,526
204,TAF6,527
205,ZBTB32,528
206,FUBP3,530
207,KLF3,531
208,NFIL3,532
209,ZHX3,533
210,TRP53,534
211,RAI14,535
212,ERCC3,541
213,PIAS1,542
214,UBTF,545
215,JUN,547
216,HSPB1,550
217,RNF6,563
218,ANKRD49,568
219,AIP,573
220,TOX3,575
221,L3MBTL2,576
222,SIX5,577
223,YBX1,578
224,MLXIP,581
225,RFX2,590
226,TRIB3,591
227,HES1,593
228,NFKBIA,594
229,YAF2,595
230,POLR1B,597
231,ZFP277,599
232,ABTB1,608
233,TRP53BP1,609
234,OTX2,610
