,Gene,index
0,KIF21A,0
1,DPH2,1
2,FUS,2
3,NKX3-1,3
4,TRIM33,4
5,HOXB4,5
6,NONO,6
7,PHLDB2,7
8,SMARCD1,8
9,CHEK2,9
10,POU2AF1,10
11,DNMT3A,11
12,SSB,12
13,FREM1,13
14,CD48,14
15,CHL1,15
16,CYP1B1,16
17,SERPINE2,17
18,CDCA2,18
19,PPT2,19
20,WWTR1,20
21,LZTS1,21
22,ZNF219,22
23,SLCO2A1,23
24,JMJD1C,24
25,RBBP4,25
26,DRAM2,26
27,BHLHE40,27
28,DEPDC1B,28
29,PARN,29
30,TMEM64,30
31,CDC20,31
32,BTG2,32
33,KLHL4,33
34,MLF1IP,34
35,RAD51,35
36,PIK3R5,36
37,VPS54,37
38,STK3,38
39,CRHBP,39
40,NT5DC3,40
41,CNBP,41
42,ERCC-00145,42
43,TFAP2A,43
44,CUX1,44
45,MITF,45
46,ANKRD50,46
47,DAXX,47
48,PMP22,48
49,TP53,49
50,BMP4,50
51,KIAA0528,51
52,PA2G4,52
53,PPARGC1B,53
54,FAM46A,54
55,ANKRD28,55
56,SOX2,56
57,SOX3,57
58,SH3BGRL2,58
59,HELZ,59
60,LGR4,60
61,MRPL1,61
62,NANOG,62
63,DLGAP5,63
64,SOX4,64
65,C4orf46,65
66,ASB4,66
67,SPPL2A,67
68,HNRNPD,68
69,UTP15,69
70,LIPG,70
71,RRAS2,71
72,MANEA,72
73,CXXC1,73
74,ERCC-00022,74
75,SRSF6,75
76,PRICKLE1,76
77,SH3BGRL,77
78,NRP2,78
79,RNF138,79
80,DYNC1I1,80
81,RARG,81
82,MCM6,82
83,KAT6A,83
84,PRSS35,84
85,MSX1,85
86,PHB2,86
87,CHAF1A,87
88,SNX14,88
89,PLK2,89
90,TMEM131,90
91,POLR2A,91
92,ARID4B,92
93,TIMP3,93
94,TFDP1,94
95,ESRP1,95
96,XRCC6,96
97,BTBD10,97
98,BTF3,98
99,PDGFA,99
100,AMIGO2,100
101,ZNF398,101
102,APBB2,102
103,GYPB,103
104,MED16,104
105,MCC,105
106,LRAT,106
107,BMP2,107
108,ZNF280B,108
109,MIF,109
110,OTX2,110
111,THY1,111
112,APOBEC3G,112
113,LECT1,113
114,PNPLA8,114
115,ZNF764,115
116,PBXIP1,116
117,BCLAF1,117
118,C11orf46,118
119,HDAC9,119
120,LRR1,120
121,PRMT6,121
122,WDFY1,122
123,RUNX1,123
124,RAI14,124
125,YAF2,125
126,GLRX,126
127,TFB2M,127
128,NDUFC2-KCTD14,128
129,MRS2,129
130,EPCAM,130
131,TTC27,131
132,WDR3,132
133,SATB2,133
134,TRUB1,134
135,COL4A1,135
136,LDB2,136
137,OAS1,137
138,HESX1,138
139,TIMM8A,139
140,SIPA1L2,140
141,TADA1,141
142,SFRP1,142
143,SMAD5,143
144,TMEM47,144
145,SORL1,145
146,CNKSR3,146
147,SP110,147
148,PRSS23,148
149,ERCC-00042,149
150,KIAA1109,150
151,NUP54,151
152,ILF3,152
153,PLXNA2,153
154,ESPL1,154
155,ETV3,155
156,CALCOCO1,156
157,PELI2,157
158,DKK4,158
159,RHOBTB3,159
160,CDK6,160
161,SPP1,161
162,SNAI1,162
163,SIRT1,163
164,IGDCC4,164
165,FOXN3,165
166,DLC1,166
167,PLAGL2,167
168,SFRP2,168
169,COMMD10,169
170,LUM,170
171,FAM89A,171
172,OTUD6B,172
173,STC1,173
174,RFPL2,174
175,JUND,175
176,TFPI,176
177,TFAP4,177
178,ANKRD6,178
179,POLB,179
180,PRIM1,180
181,APLNR,181
182,EMB,182
183,NFIC,183
184,ZNF202,184
185,ENO1,185
186,EXO1,186
187,HAND2,187
188,ABLIM1,188
189,ZEB2,189
190,TCF4,190
191,SOX13,191
192,RAD51AP1,192
193,MXD4,193
194,TRIP13,194
195,FAM69A,195
196,KIAA1467,196
197,GNG11,197
198,GINS2,198
199,MSANTD3-TMEFF1,199
200,NFATC1,200
201,PGR,201
202,C3orf14,202
203,ITGA5,203
204,CREB3L2,204
205,PPP1R9A,205
206,MCM7,206
207,TRERF1,207
208,PGM2,208
209,LMX1B,209
210,ARHGAP42,210
211,MECOM,211
212,TEAD1,212
213,CDH11,213
214,POLR3G,214
215,TMF1,215
216,UBTF,216
217,NEDD4,217
218,MTERF,218
219,HMGA1,219
220,ELK3,220
221,CRABP2,221
222,KDM6A,222
223,HDGF,223
224,SNRPD1,224
225,TMEM38B,225
226,BLM,226
227,LPGAT1,227
228,SYNC,228
229,ARFGAP3,229
230,PLOD2,230
231,PAM,231
232,POU2F2,232
233,SPIB,233
234,KLF8,234
235,U2AF1,235
236,SATB1,236
237,ENC1,237
238,CD200,238
239,ZNF30,239
240,FOXJ1,240
241,VWA5A,241
242,ERCC-00130,242
243,UPF2,243
244,ANKMY2,244
245,FZD5,245
246,FOXJ2,246
247,TMOD1,247
248,ASNS,248
249,ZFPM2,249
250,BNIP3,250
251,ILF2,251
252,APC,252
253,PURA,253
254,RHAG,254
255,MMP16,255
256,PER3,256
257,CCDC81,257
258,ELL2,258
259,GATA4,259
260,LMO3,260
261,ERCC-00076,261
262,SHOX,262
263,KLHL12,263
264,TBC1D4,264
265,FST,265
266,FAM188A,266
267,ZNF521,267
268,GPC3,268
269,PFKFB2,269
270,SCD5,270
271,GYPE,271
272,CENPK,272
273,NR3C1,273
274,ZBTB2,274
275,GATAD2A,275
276,CCDC138,276
277,GRPR,277
278,NLGN4X,278
279,ZFYVE16,279
280,FOXK1,280
281,CCNB2,281
282,ARL4D,282
283,ATRX,283
284,LMO2,284
285,KHSRP,285
286,ERCC-00165,286
287,DAB2,287
288,SALL2,288
289,MALT1,289
290,MCM4,290
291,ARNT2,291
292,ARHGAP29,292
293,DNA2,293
294,SAP18,294
295,GLIPR2,295
296,DECR1,296
297,BCL11A,297
298,ESRRG,298
299,KLF6,299
300,TCF19,300
301,PIP4K2A,301
302,CCPG1,302
303,UHRF1,303
304,SLA2,304
305,SOX17,305
306,PMAIP1,306
307,NAP1L3,307
308,TRIM25,308
309,CCKBR,309
310,KLHL28,310
311,ETV7,311
312,ASXL1,312
313,TGFBR3,313
314,AIRE,314
315,PDLIM3,315
316,PRDM14,316
317,RNF13,317
318,CRX,318
319,SRSF3,319
320,DNAJC2,320
321,B3GNT5,321
322,TLE3,322
323,RFC3,323
324,MKI67IP,324
325,SLC35F1,325
326,MYCT1,326
327,PDCD11,327
328,RBMX,328
329,NFKBIB,329
330,RUVBL1,330
331,DEDD2,331
332,SP100,332
333,HNRNPK,333
334,DDX54,334
335,HOMER1,335
336,PAWR,336
337,CTSK,337
338,RSPO3,338
339,JPH1,339
340,TRIP11,340
341,STK17B,341
342,ZIC3,342
343,GPC6,343
344,ZNF142,344
345,EEF1A1,345
346,NCAPG,346
347,TCEA1,347
348,RPL17-C18ORF32,348
349,SLITRK2,349
350,ERCC-00171,350
351,HRSP12,351
352,GTF2H2D,352
353,ERCC-00043,353
354,NRP1,354
355,CTNNB1,355
356,CYP26A1,356
357,IL6ST,357
358,SNRPB,358
359,MEIS1,359
360,ZDHHC21,360
361,AR,361
362,ERCC-00112,362
363,TLE1,363
364,ITGA6,364
365,NFATC3,365
366,TIPARP,366
367,ERCC-00113,367
368,FARSB,368
369,H1F0,369
370,RAB31,370
371,NCOA6,371
372,MME,372
373,TP53INP1,373
374,DNMT3B,374
375,NUP35,375
376,WDHD1,376
377,FAM135A,377
378,FLRT2,378
379,PCDH7,379
380,VHL,380
381,FUBP1,381
382,SOX7,382
383,COLEC12,383
384,CCNE2,384
385,RGS5,385
386,FBN1,386
387,CEP85L,387
388,DCLK1,388
389,ABCA1,389
390,CLGN,390
391,COL4A6,391
392,MLLT6,392
393,TLR4,393
394,ERCC-00111,394
395,ARID3B,395
396,POLR1A,396
397,FEZ1,397
398,RBFOX2,398
399,EOMES,399
400,SEMA5A,400
401,GLDC,401
402,VASH2,402
403,GLMN,403
404,PHC1,404
405,STK38L,405
406,SRSF10,406
407,FOXH1,407
408,RFXANK,408
409,HLX,409
410,USP44,410
411,ATP2B4,411
412,TRPS1,412
413,TEX10,413
414,CNTRL,414
415,ZIC2,415
416,PHF17,416
417,SNX18,417
418,DAAM1,418
419,TCOF1,419
420,GABRB2,420
421,ERCC-00060,421
422,EGF,422
423,ITPR2,423
424,RGPD2,424
425,APOBEC3C,425
426,ARL4A,426
427,HPRT1,427
428,PPAPDC1A,428
429,SIX6,429
430,GRHL1,430
431,MAML3,431
432,ALCAM,432
433,CER1,433
434,SLC36A4,434
435,CEBPZ,435
436,POLR3E,436
437,PLSCR4,437
438,COL1A2,438
439,ROR2,439
440,CALB1,440
441,RIPPLY1,441
442,YBX1,442
443,MXI1,443
444,MEX3C,444
445,VIM,445
446,SEMA6A,446
447,ETS1,447
448,YPEL5,448
449,MPHOSPH9,449
450,BAMBI,450
451,ZNF587,451
452,SMARCD3,452
453,AGL,453
454,SMAD2,454
455,SRC,455
456,RUVBL2,456
457,POLR2I,457
458,SLC6A15,458
459,POLR2K,459
460,FLRT3,460
461,ST8SIA1,461
462,AFF4,462
463,ELOVL2,463
464,PTPRZ1,464
465,UNC5D,465
466,RIN2,466
467,PLAGL1,467
468,MIA3,468
469,MAGI3,469
470,ST3GAL6,470
471,SOX5,471
472,RTKN2,472
473,TBX20,473
474,PSIP1,474
475,POU3F1,475
476,DEK,476
477,ERCC-00074,477
478,ZNF516,478
479,AES,479
480,SRSF2,480
481,AK4,481
482,NHLH2,482
483,TDP2,483
484,PRIC285,484
485,REL,485
486,TDRD7,486
487,RAI1,487
488,STIM2,488
489,ZNF585B,489
490,PLCB4,490
491,CBR1,491
492,GAD1,492
493,E2F4,493
494,RNF19A,494
495,SKIL,495
496,PREPL,496
497,HNRNPAB,497
498,MDM4,498
499,POLR2D,499
500,SLC39A8,500
501,DNAJB14,501
502,THAP9,502
503,IFI16,503
504,SUPT7L,504
505,HAS2,505
506,COL5A2,506
507,SMAD6,507
508,RPE,508
509,SEMA3A,509
510,GATM,510
511,TJP2,511
512,LIFR,512
513,TTK,513
514,UTP18,514
515,GATA6,515
516,KLF5,516
517,MYCN,517
518,MYOF,518
519,RMI1,519
520,HLA-DQB1,520
521,NUDT11,521
522,UPF1,522
523,FLI1,523
524,ERCC-00046,524
525,SEMA6D,525
526,SOS2,526
527,CCDC82,527
528,PCDH10,528
529,ASH2L,529
530,RIOK1,530
531,TLR7,531
532,TRIM28,532
533,PPARA,533
534,FBXO34,534
535,SUPT16H,535
536,KLHL6,536
537,FER,537
538,MYBL2,538
539,MCM3,539
540,CPE,540
541,ERCC-00025,541
542,HTRA1,542
543,ERBB4,543
544,AGPAT5,544
545,ZNF488,545
546,SLC35A3,546
547,ZNF589,547
548,SFPQ,548
549,XRN1,549
550,LIMCH1,550
551,TMSB15B,551
552,ZNF512,552
553,RBM14,553
554,NIPSNAP3A,554
555,HSD17B11,555
556,PRKACB,556
557,FOXF1,557
558,FOXP1,558
559,ALG6,559
560,CSRP2,560
561,LPIN1,561
562,ZNF471,562
563,NFKBIA,563
564,POLR1B,564
565,GABRB3,565
566,ELAVL2,566
567,MCM2,567
568,RFESD,568
569,NUSAP1,569
570,SYNE2,570
571,SMARCC1,571
572,CLDN11,572
573,GYPA,573
574,SENP7,574
575,NFAT5,575
576,ETV4,576
577,ANKRD13C,577
578,TNC,578
579,SNAPC3,579
580,ZNF165,580
581,RRN3,581
582,SULF2,582
583,VPS13C,583
584,GATA2,584
585,AFF1,585
586,DCAF6,586
587,MAN1A1,587
588,HOXB7,588
589,FAM117B,589
590,STT3B,590
591,CLDN10,591
592,RNPS1,592
593,TRIP6,593
594,PATZ1,594
595,KDELR3,595
596,NTS,596
597,NEDD9,597
598,SALL3,598
599,DSCC1,599
600,PLP1,600
601,ANGPT2,601
602,BUB1B,602
603,PHLDA1,603
604,CA14,604
605,CAMK2D,605
606,MAP4K3,606
607,LTBP1,607
608,POU2F1,608
609,MED14,609
610,MRPS30,610
611,ERCC-00053,611
612,RNF14,612
613,ZNF518B,613
614,LGR5,614
615,RAX2,615
616,HOXB3,616
617,FASTKD3,617
618,GATA3,618
619,HCFC1,619
620,NFYB,620
621,ZNF146,621
622,MATN3,622
623,KHDRBS2,623
624,STAT3,624
625,NFIB,625
626,E2F7,626
627,WDR5,627
628,LEPREL1,628
629,SEMA3E,629
630,DMBX1,630
631,ODC1,631
632,MBIP,632
633,PENK,633
634,ANKZF1,634
635,BMPR1A,635
636,AMN1,636
637,HLA-DRB1,637
638,EPB41L3,638
639,TRIM2,639
640,TRAPPC8,640
641,CDC7,641
642,ERCC-00003,642
643,S1PR3,643
644,PALLD,644
645,ALPK2,645
646,ZCCHC11,646
647,NPM1,647
648,PDE3B,648
