,TF,index
0,BMI1,0
1,ARNT2,1
2,BTG2,2
3,MED4,3
4,TLE1,5
5,NFATC2IP,6
6,SOX4,8
7,YEATS2,9
8,CRAMP1L,13
9,YAF2,14
10,KRBA1,17
11,POLR2K,23
12,FOXP1,24
13,NOTCH1,25
14,PHF14,26
15,SOX15,27
16,FOSL2,29
17,TAF6,30
18,PURA,31
19,HNRNPK,34
20,MYBBP1A,35
21,CREB3,36
22,ATF2,38
23,E2F6,40
24,FOXJ3,42
25,ARID1A,46
26,HEY2,47
27,IRF4,49
28,OVOL1,50
29,SIN3A,51
30,NR2F2,55
31,BAZ1A,57
32,MCM2,58
33,PHF12,59
34,POU4F2,60
35,RARG,61
36,CUX1,63
37,TEAD3,65
38,KEAP1,70
39,RNF14,71
40,PER1,74
41,KAT2B,75
42,BARD1,76
43,IRF1,78
44,CHD4,80
45,ZMYM2,82
46,POLR3B,83
47,DMRT1,88
48,DDX20,92
49,EED,93
50,PITX2,94
51,POLR2E,95
52,KLF13,97
53,GTF2A1L,98
54,KLF8,99
55,IRF3,100
56,ZDHHC16,102
57,RAD54B,103
58,ABT1,104
59,AGAP3,105
60,COIL,106
61,DDX54,109
62,SIRT1,110
63,MSX2,111
64,TSG101,112
65,ZFP446,120
66,NCOA3,121
67,ATF5,122
68,PSIP1,123
69,NFATC3,124
70,GLI1,125
71,MAPK8,126
72,NR5A2,127
73,SOS2,130
74,BTF3,131
75,POU4F1,132
76,PBXIP1,133
77,SSBP4,136
78,SSB,137
79,FIZ1,138
80,TRP53,140
81,TOPORS,143
82,ARL6IP5,145
83,CBX6,146
84,TCF12,148
85,HOXD13,149
86,KDM5B,151
87,RBBP7,153
88,SRSF6,154
89,SMARCD1,158
90,NR0B1,159
91,PRDM1,160
92,ERCC3,161
93,SIN3B,162
94,WWTR1,165
95,IRF2,167
96,XRCC6,168
97,RUVBL1,170
98,RUVBL2,171
99,SOX17,172
100,OTX2,173
101,SUZ12,175
102,TFEB,176
103,MLLT1,177
104,NANOG,178
105,PRDM14,181
106,BRPF1,183
107,XBP1,186
108,PAX8,188
109,CENPB,191
110,GTF2H4,192
111,KANK2,193
112,NFYB,194
113,ZFP296,197
114,MBD2,199
115,TRIP6,200
116,ATF4,202
117,EMX2,204
118,HCFC1,205
119,PLAG1,207
120,ZFP219,208
121,MATR3,213
122,ZBTB32,214
123,RFX7,215
124,KLF9,217
125,CALCOCO1,218
126,XAB2,219
127,HDAC3,220
128,MLXIPL,221
129,ELK4,222
130,TCEA3,225
131,MCM7,226
132,MAML3,228
133,PBX4,231
134,HMGB2,233
135,MEN1,235
136,RBM14,236
137,RNF6,237
138,CTNNB1,238
139,SALL4,240
140,TGFB1,243
141,EP400,247
142,FOXQ1,248
143,ECD,250
144,TAF1A,251
145,UTF1,252
146,HNRNPAB,253
147,HDAC10,256
148,SATB1,259
149,FXR1,262
150,UBTF,265
151,TRPS1,266
152,NR1D1,267
153,NFIB,268
154,TNFAIP3,271
155,EBF1,272
156,HEXIM1,273
157,NR4A1,275
158,SIX5,276
159,ZFP423,277
160,KHDRBS1,280
161,THRAP3,281
162,PHB2,282
163,KLF15,283
164,GTF2I,288
