,Gene,index
0,BMI1,0
1,ARNT2,1
2,BTG2,2
3,MED4,3
4,SOAT1,4
5,TLE1,5
6,NFATC2IP,6
7,GM13597,7
8,SOX4,8
9,YEATS2,9
10,TXNDC12,10
11,ODC1,11
12,GM24044,12
13,CRAMP1L,13
14,YAF2,14
15,SLC25A4,15
16,GM14303,16
17,KRBA1,17
18,MAGED1,18
19,PDIA6,19
20,PHLDA3,20
21,DCXR,21
22,COL27A1,22
23,POLR2K,23
24,FOXP1,24
25,NOTCH1,25
26,PHF14,26
27,SOX15,27
28,PARVB,28
29,FOSL2,29
30,TAF6,30
31,PURA,31
32,GJB3,32
33,SNORD43,33
34,HNRNPK,34
35,MYBBP1A,35
36,CREB3,36
37,SLC5A11,37
38,ATF2,38
39,GM8355,39
40,E2F6,40
41,KRT8,41
42,FOXJ3,42
43,TCL1,43
44,FGF10,44
45,MYMX,45
46,ARID1A,46
47,HEY2,47
48,GM44429,48
49,IRF4,49
50,OVOL1,50
51,SIN3A,51
52,MIR291B,52
53,EIF4A2,53
54,ZFP989,54
55,NR2F2,55
56,LDLRAP1,56
57,BAZ1A,57
58,MCM2,58
59,PHF12,59
60,POU4F2,60
61,RARG,61
62,GLMP,62
63,CUX1,63
64,FST,64
65,TEAD3,65
66,GAS6,66
67,DPP4,67
68,GM22862,68
69,CSRP2,69
70,KEAP1,70
71,RNF14,71
72,PHLDB2,72
73,KAT6B,73
74,PER1,74
75,KAT2B,75
76,BARD1,76
77,CRIP2,77
78,IRF1,78
79,EDA2R,79
80,CHD4,80
81,PATJ,81
82,ZMYM2,82
83,POLR3B,83
84,DNAJC10,84
85,BEND5,85
86,FAM129B,86
87,SLC25A5,87
88,DMRT1,88
89,CTSL,89
90,LAMB2,90
91,AKR1B8,91
92,DDX20,92
93,EED,93
94,PITX2,94
95,POLR2E,95
96,ADAM19,96
97,KLF13,97
98,GTF2A1L,98
99,KLF8,99
100,IRF3,100
101,ECT2,101
102,ZDHHC16,102
103,RAD54B,103
104,ABT1,104
105,AGAP3,105
106,COIL,106
107,GM15181,107
108,GM26092,108
109,DDX54,109
110,SIRT1,110
111,MSX2,111
112,TSG101,112
113,AF357399,113
114,ZFYVE21,114
115,ANP32A,115
116,SLC26A10,116
117,LY6G6E,117
118,SRI,118
119,KDM3A,119
120,ZFP446,120
121,NCOA3,121
122,ATF5,122
123,PSIP1,123
124,NFATC3,124
125,GLI1,125
126,MAPK8,126
127,NR5A2,127
128,TENM4,128
129,THBD,129
130,SOS2,130
131,BTF3,131
132,POU4F1,132
133,PBXIP1,133
134,KHDC3,134
135,HIST1H2AK,135
136,SSBP4,136
137,SSB,137
138,FIZ1,138
139,SNORD33,139
140,TRP53,140
141,ALG13,141
142,COL4A1,142
143,TOPORS,143
144,GM17545,144
145,ARL6IP5,145
146,CBX6,146
147,MSH6,147
148,TCF12,148
149,HOXD13,149
150,GM24455,150
151,KDM5B,151
152,ANXA5,152
153,RBBP7,153
154,SRSF6,154
155,GM17035,155
156,MKRN1,156
157,BMPER,157
158,SMARCD1,158
159,NR0B1,159
160,PRDM1,160
161,ERCC3,161
162,SIN3B,162
163,CCN2,163
